graph_id,graph6,n,m,GADL,labeling
1,D??,5,0,NO,-
2,D?_,5,1,NO,-
3,D?o,5,2,NO,-
4,D?w,5,3,NO,-
5,D?{,5,4,NO,-
6,DCO,5,2,NO,-
7,DCW,5,3,NO,-
8,DCc,5,3,NO,-
9,DCo,5,3,NO,-
10,DCs,5,4,YES,"0:2,1:0,2:3,3:1,4:4"
11,DCw,5,4,NO,-
12,DC{,5,5,NO,-
13,DEk,5,5,YES,"0:0,1:3,2:1,3:5,4:4"
14,DEo,5,4,NO,-
15,DEs,5,5,NO,-
16,DEw,5,5,NO,-
17,DE{,5,6,NO,-
18,DFw,5,6,NO,-
19,DF{,5,7,NO,-
20,DQg,5,4,NO,-
21,DQo,5,4,YES,"0:4,1:2,2:1,3:3,4:0"
22,DQw,5,5,YES,"0:5,1:3,2:4,3:1,4:0"
23,DQ{,5,6,NO,-
24,DTk,5,6,YES,"0:0,1:1,2:6,3:5,4:2"
25,DTw,5,6,YES,"0:0,1:2,2:1,3:6,4:4"
26,DT{,5,7,YES,"0:6,1:7,2:5,3:2,4:0"
27,DUW,5,5,NO,-
28,DUw,5,6,YES,"0:0,1:5,2:6,3:2,4:1"
29,DU{,5,7,YES,"0:2,1:7,2:5,3:6,4:0"
30,DV{,5,8,YES,"0:6,1:8,2:4,3:0,4:1"
31,D]w,5,7,NO,-
32,D]{,5,8,NO,-
33,D^{,5,9,NO,-
34,D~{,5,10,NO,-
